input,output
What are the key points mentioned about judgment?,"mated cost to cure. If the Appraiser cannot determine that a Property meets HUDs MPR or MPS , the Mortgagee may obtain an inspection from a qualified entity to make the determination . Mortgagee s must use professional judgment in determining when inspections are necessary to determine that a property meets MPR or MPS . Mortgagees must also use professional judgment in determining when a Property condition poses a threat to the health and safety of the occupant and/or jeopardizes the soundness and structural integrity of the Property, such that additional inspections and/or repairs are necessary. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 3. Underwriting the Property Handbook 4000.1 183 Last Revised: 10/31 /2023 The Mortgagee must confirm that the Property complies with the following eligibility criteria. If the Mortgage is to be insured under the 203(k) program, the Mortgagee must confirm that the Property will comply with the following eligibility criteria upon completion of repairs and improvements. (A) Encroachment The Mortgagee must ensure the subjects dwelling, garage, or other improvements do not encroach onto an adjacent Property , right -of-way, utility Easement, or building restriction line. The Mortgagee must also ensure a neighboring dwelling, garage, or other improvements do not encroach onto the subject Property . Encroachment by the subject or adjacent Property fences is acceptable provided such Encr"
Can you explain noncompliance based on the text?,"he plan. The plan must confer on the health authority all powers necessary to effect compliance by the service contractor. The health authoritys powers must include the authority to notify the Borrower of any noncompliance by the service contractor. The plan must provide that upon any notification of noncompliance received from the health authority, the Borrower may discharge the service contractor for cause and appoint a successor organization or individual as service contractor. The Mortgagee must ensure that any plan developed in accordance with this section must provide that an analysis of the water supply must be obtained from the local or state health authority no less frequently than annually, but more frequently if determine d at any time to be necessary by the health authority or by the service contractor. The plan must provide that if the dwelling served by the water purification system is refinanced, or is sold or otherwise transferred with a HUD -insured Mortgage, the plan will: continue in full force and effect; impose an obligation on the Borrower to notify any subsequent purchaser or transferee of the necessity for the water purification system and for its proper maintenance, and of the obligation to make escrow payments; and require the Borrower to furnish the purchaser with a copy of the plan before any sales contract is signed. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 3. Underwriting the Propert"
What does the document say about Organization?,provements ........................................................................................ 2 Hybrid Work .......................................................................................................... 31 In-line Store .......................................................................................................... 36 Incubator .............................................................................................................. 31 Industrial Building ................................................................................................. 36 Infill ........................................................................................................................ 3 Innovation Center or District .................................................................................. 31 Internal Rate of Return (IRR) ................................................................................. 21 International Financial Reporting Standards (IFRS) ................................................ 10 International Organization for Standardization (ISO) ............................................... 10 International Sustainability Standards Board (ISSB) ............................................... 10 NAIOP Research Foundation | Commercial Real Estate Terms and Conditions 42Kiosk ....................................................................................................................
What does the document say about eligible?,"Expected Average Mortgage Interest Rate (Expected Rate) ; explain the HECM program to the Borrower; discuss whether the Borrower is eligible for HECM financing ; provide information regarding the fees and charges associated with the HECM product; II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 1. Origination/Counseling Requirements Handbook 4000.1 541 Last Revised: 10/31 /2023 describe the potential financial implications of a HECM for the Borrower; provide the Borrower with sample copies of the HECM Note, Mortgage, and loan agreement; order preliminary title search ; order Automated Valuation Model (AVM); and order credit report to perform a preliminary credit review of the Borrowers financial obligations . The Mortgagee and sponsored TPO may not collect any fee or the Borrowers banking account and credit card information before closing, or in connection with any function permitted above if the function is performed before receipt of a signed and dated Certificate of HECM Counseling for each individual required to receive counseling. If the Borrower obtains the HECM, Mortgagees may only collect the cost of the credit report and the preliminary title search at loan closing; the cost of the AVM must be paid from the loan origination fee. If the HECM does not close, the Borrower may not be charged for any of these services. c. Individuals Required to Receive HECM Counseling (04/29/2024) i. Definition s Non-Borrowing Spou"
How does the document describe utilize?,"ort does not include a monthly payment for the account, the Lender must use 5 percent of the outstanding balance shown on the current account statement. (9) 30-Day Account s (a) Definition 30-Day Account s refer to a credit arrangement that requires the Borrower to pay off the outstanding balance on the account every month. (b) Standard The Lender must verify the Borrower paid the outstanding balance in full on every 30 -Day Account each month for the past 12 months. 30 -Day Accounts that are paid monthly are not included in the Borrowers debt ratio. If the credit report reflects any late payments in the last 12 months, the Lender must utilize 5 percent of the outstanding balance as the Borrowers monthly debt to be included in the debt ratio. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT E. Title I Insured Programs 4. Manufactured Home Loan Program Handbook 4000.1 1061 Last Revised: 10/31 /2023 (c) Required Documentation The Lender must use the credit report to document that the Borrower has paid the balance on the account monthly for the previous 12 months. The Lender must use the credit report to document the balance, and must document sufficient funds are available to p ay off the balance after loan closing. (10) Business Debt in Borrowers Name (a) Definition Business debt in the Borrowers name refers to liabilities reported on the Borrowers personal credit report, but payment for the debt is attributed to the Borrowers business. (b) Standard When business debt is repo"
How does the document describe following?,"cipal balance if the Contingency Reserve was financed. (4) Mortgage Payment Reserve Mortgage Payment Reserve s remaining in the reserve account after the Final Release Notice is issued must be used to reduce the mortgage principal. (5) Escrow Closeout Certification (a) Standard After the rehabilitation escrow account is closed, the Mortgagee must complete the Escrow Closeout Certification screen in FHAC within 30 Days after the escrow account is closed. (b) Required Documentation The Mortgagee must certify that the following documents were reviewed and verified for accuracy: Final Release Notice Borrowers Letter of Completion title update/Lien Waivers draw request forms and inspection reports change orders Mortgagee accounting of the rehabilitation escrow account and payment ledgers contingency release letters xix. Quality Control HUD will hold Mortgagees and 203(k) Consultants fully accountable for the mortgage proceeds. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 8. Programs and Products - 203(k) Rehabilitation Mortgage Insurance Program (04/18/2023) Handbook 4000.1 428 Last Revised: 10/31 /2023 Mortgagees must exercise due diligence with regard to the full scope of the 203(k) Consultant s services. Standards for the 203(k) Consultant s performance must be clearly defined in the Mortgagee s Quality Control Plan and should be provided to each Consultant that the Mortgagee relies on in the 203(k) program. Mortgagees"
What are the key points mentioned about opposed?,"ginal lease; notice needed to terminate. Also called Periodic Tenancy or Estate from Year to Year . Tenancy in Common A form of co -ownership in which two or more persons each have an undivided interest in the entire property (unity of possession), but no right of survivorship. Tenancy in Severalty Ownership by a single person or legal entity, as opposed to co- ownership. Also called Sole Ownership or Separate Property Ownership. Tenant Someone in lawful possession of real property, especially, someone who has leased property from the owner. Tenant, Holdover A lessee who remains in possession of property after the lease has expired without permission; a tenant who refuses to surrender possession of property at the tenancys end. Tendering Performance An unconditional offer by one party to perform that partys part of a contract. Also called Tender . Term Mortgage A method of financing in which only interest is paid during the term of the loan. At maturity, generally five years or less, the entire principal is due. Also called Straight Loan . Testate Refers to someone who has died and left a will. Tester A person working with a fair housing organization who pretends to be interested in buying or renting property for the purpose of assessing specific treatment based on protected class. Also called Checker . Tie-In Agreement An antitrust violation in which one transaction or agreement is contingent on a second transaction or agreement. Also called Tying Agreement ."
What information is provided about consistent?,"00.1 784 Last Revised: 10/31 /2023 evidence that no more than 15 percent of the total Units are Units in Arrears (does not include late fees or other administrative expenses); and financial records that are consistent with the application package, including special assessments, loans, or other financial variations. If a reserve study is required to justify a reserve account funded less than 10 percent, it must: be 36 months old or less; include a site visit; demonstrate that the Condominium Project has adequate funded reserves that provide financial protection for the Condominium Project equivalent to the reserve requirements; demonstrate that the Condominium Projects funded reserves meet or exceed the recommendations included in the reserve study ; and be prepared by an independent third party that has demonstrated knowledge of and experience in completing r eserve studies . The Condominium Project demonstrates Financial Controls by: maintaining separate accounts for operating and reserve funds; requiring the Condominium Association s management company to maintain separate records and bank accounts for the Condominium Association; and restricting the management company from drawing checks on, or transferring funds from, the reserve account of the Condominium Association without approval from the Condominium Association. (2) Financial Distress A Condominium Project or builder/developer that has completed a Resolution of Financial Distress Event within 12 months prior to the"
What does the document say about conditions?,"y goal of the appraisal is to justify the lenders investment, it also protects you from overpaying. If the appraisal comes in lower than the amount you wish to borrow, you may need to renegotiate your contract. Your offer contract will be contingent on this financing. Here are a few things to note about the appraisal process: Is an appraisal a concrete number?NO. Appraisals provide a professional opinion of value and may differ depending on when theyre done and whos doing them. Also, changes in market conditions can dramatically alter appraised value. Does an appraisal represent the whole picture?NO. There are special considerations that appraised value doesnt take into account, such as the need to sell rapidly. How do appraisers derive their price?Appraisals use sold data from comparable properties (comps) to help come up with a reasonable price. *Content sourced from National Association of REALTORS 13 The Closing T able The closing is the final step in the home purchase process and when the ownership of the property is transferred from the seller to the buyer. All parties will attend the closing and the closing attorney will coordinate the signing of all paperwork. WHAT TO BRING TO CLOSING Government issued photo ID (license, passport, etc) Proof of homeowners Insurance Checkbook (if applicable) If wiring funds, beware of cyber-fraud Fraudulent e-mails attempting to get the buyer and/or seller to wire funds (earnest money, closing costs, etc) to criminal computer hackers a"
What does the document say about borrower?,"HUD. Also, military servic e of the borrower may delay foreclosure proceedings (24 C.F.R. 203.346). 44 Congress authorized FHA to undertake certain types of loss mitigation actions in 1996. The loss mitigation program replaced an assignment program . Under the assignment program, ser vicers would assign a defaulted loan to FHA, which would pay the insurance claim to the lender and then attempt to help the borrower avoid foreclosure directly. Under the loss mitigation program , servicers are given the responsibility of pursuing loss miti gation options before completing a foreclosure. P.L. 104 -99, the Balanced Budget Downpayment Act, I, terminated the mortgage assignment program and authorized certain loss mitigation activities. 45 FHA loss mitigation procedures are described in HUD Handbook 4000.1, Section III.A.2. 46 See HUD Handbo ok 4000.1, Section III.A.2.k.ii and 24 C.F.R. 203.345 and 203.346. 47 In addition, as amended by HERA, the Servicemember s Civil Relief Act ( P.L. 108 -189) provides certain foreclosure protections for active duty servicemembers. See HUD Handbook 4000.1, Section III.A.3. i. FHA-Insured Home Loans: An Overview Congressional Research Service 11 affected by presidentially declared major disasters48 and in response to the COVID -19 pandemic.49 T able 3. Loss Mitigation Options Possible Remedies for FHA Loans in Default Forbearance Forbearance agreements allow a borrower to make partial mortgage payments, or to suspend mortgage payments, for a specifi"
What does the document say about inquiries?,"he satisfactory rental payment history. iv. Evaluating Liabilities and Debts (TOTAL ) The Mortgagee must review all credit report inquiries to ensure that all debt s, including any new debt payments resulting from material inquiries listed on the credit report , are used to calculate the debt ratios. The Mortgagee must also determine that any recent debts were not incurred to obtain any part of the Borrowers required funds to close on the Propert y being purchased. Material Inquiries refer to inquires which may potentially result in obligations incurred by the Borrower for other Mortgage s, auto loa ns, leases, or other Installment L oans. Inquiries from department stores, credit bureaus, and insurance companies are not considered material inquiries. (A) General Liabilities and Debt s (TOTAL ) The Mortgagee must determine the Borrower s monthly liabilities by reviewing all debts listed on the credit report, Fannie Mae Form 1003 /Freddie Mac Form 65 , Uniform Residential Loan Application ( URLA ), and required documentation . All applicable monthly liabilities must be included in the qualifying ratio. Closed -end debts do not have to be included if they will be paid off within 10 months from the date of closing and the cumulative payments of all such debts are less than or equal to 5 percent of the Borrower s gross monthly income . The Borrower may not pay down the balance in order to meet the 10 -month requirement. Accounts for which the Borrower is an authorized user must be"
What information is provided about payments?,", of the total amount of assistance paid on behalf of the original mo rtgagor and all assumptors, if any, less handling charges and the total of any assistance payments which may have been inadvertently applied to the mortgagors account. C. Providing copies of original documents (i.e., signed settlement statements, sales contract s, etc., which are contained in the mortgagees case file) that the mortgagor cannot provide, but are needed by HUD to determine the amount of recapture due to satisfy the HUD lien. D. Serving as the go -between where necessary and advising the mortgagor of the documentation required to calculate the recapture amount due HUD. NOTE: THE MORTGAGEE MUST NOT CALCULATE THE RECAPTURE AMOUNT. NOTE: If the mortgagee receives the recapture amount due either directly from the mortgagor or as a disbursement from closing, the mortgagee shall promptly forward these funds directly to the local HUD Office. THE MORTGAGEE MUST NOT ASSUME ANY DUTIES CONCERNING THE CALCULATION OF THE RECAPTURE AMOUNT. E. Verifying and certifying that all appropriate recertifications (from the time of inception through the time of termination of the assistance payments contract) have been correctly processed and billed. At the request of a Field Office, the mortgagee shall submit recertifications for review by that Field Office before the recapture process begins. F. Repaying any overpaid assistance (that may have been discovered as a result of Paragraph 11 -11E) as described in Chapter"
What does the document say about inspection?,"settlement, home buyers have to pay closing costs for taxes, lenders fees, and title company fees. Closing costs vary by location, but you can expect to shell out between 3% and 4% of the homes sales price. The seller pays an additional 1% to 3%. (SmartAsset.com and Nerdwallet.com have simple calculators you can use to get a rough idea of what your closing costs might be.) When making an initial offer, you have the option to ask the seller for concessions - a settlement paid in cash to help you offset your share of the closing costs. (This move is less feasible if youre going up against multiple offers.) Concessions effectively lower the sellers net proceeds from the sale. Making a counteroffer that removes the concessions you would have otherwise received at settlement puts cash back in the sellers pocket - and can improve your bid. #6 Ask for Fewer Concessions Reduce the number of contingencies youre asking for. Its your way of saying, Hey, look, I have fewer ways to back out, which gives the seller more reassurance that the deal will close. But be selective: Some contingencies are too important to give up. A home-inspection contingency - the right to have a home inspection and request repairs - gives you an out if you spot major problems with the home (and protects you from buying a total money pit). Y ou might waive a termite inspection if youre in a state where the risk is lower."
